course_title;url;price;num_subscribers;num_reviews;num_lectures;level;Rating;content_duration;published_timestamp;subject
MQL4 Tutorial Golden Goose;https://www.udemy.com/mql4-tutorial-golden-goose-trading-tutorial/;20;135;5;12;All Levels;59;15;7/6/15 14:32;Business Finance
MQL5 - Beginner To Expert;https://www.udemy.com/mql5-beginner-to-expert/;45;16;1;16;All Levels;9;15;6/4/17 16:39;Business Finance
MQL5 - Beginner To Expert;https://www.udemy.com/mql5-beginner-to-expert/;45;16;1;16;All Levels;9;15;6/4/17 16:39;Business Finance
MQL5 Tutorial Bootcamp;https://www.udemy.com/mql5-tutorial-bootcamp/;20;978;7;13;All Levels;88;533333333;28/1/16 19:11;Business Finance
MQL5 Tutorial Bootcamp;https://www.udemy.com/mql5-tutorial-bootcamp/;20;978;7;13;All Levels;88;533333333;28/1/16 19:11;Business Finance
Mundharmonika spielen - mein schðnstes Hobby;https://www.udemy.com/mundharmonika-spielen-mein-schonstes-hobby/;20;65;7;77;All Levels;11;25;9/6/15 12:39;Musical Instruments
Mundharmonika spielen - mein schðnstes Hobby;https://www.udemy.com/mundharmonika-spielen-mein-schonstes-hobby/;20;65;7;77;All Levels;11;25;9/6/15 12:39;Musical Instruments
Music Fundamentals: Learn Beatmaking with Pen Tapping;https://www.udemy.com/music-fundamentals-learn-beatmaking-with-pen-tapping/;200;537;2;22;All Levels;7;2;13/11/15 17:12;Musical Instruments
Music Fundamentals: Learn Beatmaking with Pen Tapping;https://www.udemy.com/music-fundamentals-learn-beatmaking-with-pen-tapping/;200;537;2;22;All Levels;7;2;13/11/15 17:12;Musical Instruments
Music Theory, Guitar and Ear Training;https://www.udemy.com/holistic-guitar-ear-essentials/;60;30;3;39;Beginner Level;11;3;22/11/15 13:35;Musical Instruments
Mutual Funds for Investors in Retirement Accounts;https://www.udemy.com/mutual-funds-for-investors-in-retirement-accounts/;20;0;0;0;All Levels;95;0;17/12/15 0:38;Business Finance
